Phi[deg],Theta[deg],dB(DirTotal)
-180,0,6.41645
-178,0,6.41645
-176,0,6.41645
-174,0,6.41645
-172,0,6.41645
-170,0,6.41645
-168,0,6.41645
-166,0,6.41645
-164,0,6.41645
-162,0,6.41645
-160,0,6.41645
-158,0,6.41645
-156,0,6.41645
-154,0,6.41645
-152,0,6.41645
-150,0,6.41645
-148,0,6.41645
-146,0,6.41645
-144,0,6.41645
-142,0,6.41645
-140,0,6.41645
-138,0,6.41645
-136,0,6.41645
-134,0,6.41645
-132,0,6.41645
-130,0,6.41645
-128,0,6.41645
-126,0,6.41645
-124,0,6.41645
-122,0,6.41645
-120,0,6.41645
-118,0,6.41645
-116,0,6.41645
-114,0,6.41645
-112,0,6.41645
-110,0,6.41645
-108,0,6.41645
-106,0,6.41645
-104,0,6.41645
-102,0,6.41645
-100,0,6.41645
-98,0,6.41645
-96,0,6.41645
-94,0,6.41645
-92,0,6.41645
-90,0,6.41645
-88,0,6.41645
-86,0,6.41645
-84,0,6.41645
-82,0,6.41645
-80,0,6.41645
-78,0,6.41645
-76,0,6.41645
-74,0,6.41645
-72,0,6.41645
-70,0,6.41645
-68,0,6.41645
-66,0,6.41645
-64,0,6.41645
-62,0,6.41645
-60,0,6.41645
-58,0,6.41645
-56,0,6.41645
-54,0,6.41645
-52,0,6.41645
-50,0,6.41645
-48,0,6.41645
-46,0,6.41645
-44,0,6.41645
-42,0,6.41645
-40,0,6.41645
-38,0,6.41645
-36,0,6.41645
-34,0,6.41645
-32,0,6.41645
-30,0,6.41645
-28,0,6.41645
-26,0,6.41645
-24,0,6.41645
-22,0,6.41645
-20,0,6.41645
-18,0,6.41645
-16,0,6.41645
-14,0,6.41645
-12,0,6.41645
-10,0,6.41645
-8,0,6.41645
-6,0,6.41645
-4,0,6.41645
-2,0,6.41645
0,0,6.41645
2,0,6.41645
4,0,6.41645
6,0,6.41645
8,0,6.41645
10,0,6.41645
12,0,6.41645
14,0,6.41645
16,0,6.41645
18,0,6.41645
20,0,6.41645
22,0,6.41645
24,0,6.41645
26,0,6.41645
28,0,6.41645
30,0,6.41645
32,0,6.41645
34,0,6.41645
36,0,6.41645
38,0,6.41645
40,0,6.41645
42,0,6.41645
44,0,6.41645
46,0,6.41645
48,0,6.41645
50,0,6.41645
52,0,6.41645
54,0,6.41645
56,0,6.41645
58,0,6.41645
60,0,6.41645
62,0,6.41645
64,0,6.41645
66,0,6.41645
68,0,6.41645
70,0,6.41645
72,0,6.41645
74,0,6.41645
76,0,6.41645
78,0,6.41645
80,0,6.41645
82,0,6.41645
84,0,6.41645
86,0,6.41645
88,0,6.41645
90,0,6.41645
92,0,6.41645
94,0,6.41645
96,0,6.41645
98,0,6.41645
100,0,6.41645
102,0,6.41645
104,0,6.41645
106,0,6.41645
108,0,6.41645
110,0,6.41645
112,0,6.41645
114,0,6.41645
116,0,6.41645
118,0,6.41645
120,0,6.41645
122,0,6.41645
124,0,6.41645
126,0,6.41645
128,0,6.41645
130,0,6.41645
132,0,6.41645
134,0,6.41645
136,0,6.41645
138,0,6.41645
140,0,6.41645
142,0,6.41645
144,0,6.41645
146,0,6.41645
148,0,6.41645
150,0,6.41645
152,0,6.41645
154,0,6.41645
156,0,6.41645
158,0,6.41645
160,0,6.41645
162,0,6.41645
164,0,6.41645
166,0,6.41645
168,0,6.41645
170,0,6.41645
172,0,6.41645
174,0,6.41645
176,0,6.41645
178,0,6.41645
180,0,6.41645
-180,2,6.40525
-178,2,6.40507
-176,2,6.40489
-174,2,6.40472
-172,2,6.40455
-170,2,6.4044
-168,2,6.40425
-166,2,6.40411
-164,2,6.40398
-162,2,6.40386
-160,2,6.40374
-158,2,6.40364
-156,2,6.40354
-154,2,6.40346
-152,2,6.40338
-150,2,6.40331
-148,2,6.40325
-146,2,6.4032
-144,2,6.40316
-142,2,6.40312
-140,2,6.4031
-138,2,6.40309
-136,2,6.40308
-134,2,6.40309
-132,2,6.4031
-130,2,6.40312
-128,2,6.40316
-126,2,6.4032
-124,2,6.40324
-122,2,6.4033
-120,2,6.40337
-118,2,6.40344
-116,2,6.40353
-114,2,6.40362
-112,2,6.40372
-110,2,6.40382
-108,2,6.40394
-106,2,6.40406
-104,2,6.40419
-102,2,6.40432
-100,2,6.40447
-98,2,6.40462
-96,2,6.40477
-94,2,6.40493
-92,2,6.4051
-90,2,6.40528
-88,2,6.40545
-86,2,6.40564
-84,2,6.40583
-82,2,6.40602
-80,2,6.40622
-78,2,6.40642
-76,2,6.40663
-74,2,6.40684
-72,2,6.40705
-70,2,6.40727
-68,2,6.40749
-66,2,6.40771
-64,2,6.40793
-62,2,6.40816
-60,2,6.40839
-58,2,6.40862
-56,2,6.40885
-54,2,6.40908
-52,2,6.40932
-50,2,6.40955
-48,2,6.40979
-46,2,6.41002
-44,2,6.41026
-42,2,6.41049
-40,2,6.41072
-38,2,6.41096
-36,2,6.41119
-34,2,6.41142
-32,2,6.41165
-30,2,6.41187
-28,2,6.4121
-26,2,6.41232
-24,2,6.41254
-22,2,6.41276
-20,2,6.41298
-18,2,6.41319
-16,2,6.4134
-14,2,6.41361
-12,2,6.41381
-10,2,6.41401
-8,2,6.4142
-6,2,6.41439
-4,2,6.41458
-2,2,6.41476
0,2,6.41493
2,2,6.41511
4,2,6.41527
6,2,6.41543
8,2,6.41559
10,2,6.41574
12,2,6.41588
14,2,6.41602
16,2,6.41616
18,2,6.41628
20,2,6.4164
22,2,6.41651
24,2,6.41662
26,2,6.41672
28,2,6.41681
30,2,6.4169
32,2,6.41698
34,2,6.41705
36,2,6.41711
38,2,6.41717
40,2,6.41721
42,2,6.41725
44,2,6.41729
46,2,6.41731
48,2,6.41733
50,2,6.41733
52,2,6.41733
54,2,6.41733
56,2,6.41731
58,2,6.41728
60,2,6.41725
62,2,6.41721
64,2,6.41715
66,2,6.41709
68,2,6.41703
