"dI [mm]","wF [mm]","Freq [GHz]","dB(S(1,1)) []"
7.5,1.5,1.85,-0.20803955306709
7.5,1.5,1.853,-0.209963799838008
7.5,1.5,1.856,-0.211916985950392
7.5,1.5,1.859,-0.213899769060722
7.5,1.5,1.862,-0.215912825638556
7.5,1.5,1.865,-0.217956851632778
7.5,1.5,1.868,-0.220032563164987
7.5,1.5,1.871,-0.222140697251271
7.5,1.5,1.874,-0.224282012553697
7.5,1.5,1.877,-0.226457290162944
7.5,1.5,1.88,-0.228667334413545
7.5,1.5,1.883,-0.230912973733267
7.5,1.5,1.886,-0.233195061528339
7.5,1.5,1.889,-0.235514477106178
7.5,1.5,1.892,-0.237872126637513
7.5,1.5,1.895,-0.240268944159772
7.5,1.5,1.898,-0.242705892623792
7.5,1.5,1.901,-0.245183964985987
7.5,1.5,1.904,-0.247704185348233
7.5,1.5,1.907,-0.250267610147863
7.5,1.5,1.91,-0.252875329400297
7.5,1.5,1.913,-0.255528467996942
7.5,1.5,1.916,-0.258228187061231
7.5,1.5,1.919,-0.260975685365721
7.5,1.5,1.922,-0.263772200813449
7.5,1.5,1.925,-0.266619011986838
7.5,1.5,1.928,-0.269517439767701
7.5,1.5,1.931,-0.272468849032067
7.5,1.5,1.934,-0.275474650423781
7.5,1.5,1.937,-0.278536302211079
7.5,1.5,1.94,-0.281655312230536
7.5,1.5,1.943,-0.28483323992315
7.5,1.5,1.946,-0.288071698467477
7.5,1.5,1.949,-0.291372357015191
7.5,1.5,1.952,-0.294736943034598
7.5,1.5,1.955,-0.29816724476814
7.5,1.5,1.958,-0.301665113810162
7.5,1.5,1.961,-0.30523246781171
7.5,1.5,1.964,-0.30887129331948
7.5,1.5,1.967,-0.312583648756522
7.5,1.5,1.97,-0.316371667552803
7.5,1.5,1.973,-0.320237561434183
7.5,1.5,1.976,-0.324183623879018
7.5,1.5,1.979,-0.328212233752095
7.5,1.5,1.982,-0.332325859126268
7.5,1.5,1.985,-0.336527061302941
7.5,1.5,1.988,-0.340818499043081
7.5,1.5,1.991,-0.34520293302145
7.5,1.5,1.994,-0.349683230517427
7.5,1.5,1.997,-0.354262370356754
7.5,1.5,2,-0.358943448119525
7.5,1.5,2.003,-0.363729681630805
7.5,1.5,2.006,-0.368624416751277
7.5,1.5,2.009,-0.373631133486697
7.5,1.5,2.012,-0.378753452436109
7.5,1.5,2.015,-0.38399514160023
7.5,1.5,2.018,-0.389360123572944
7.5,1.5,2.021,-0.394852483140433
7.5,1.5,2.024,-0.400476475314289
7.5,1.5,2.027,-0.406236533826834
7.5,1.5,2.03,-0.41213728011888
7.5,1.5,2.033,-0.41818353285248
7.5,1.5,2.036,-0.42438031798357
7.5,1.5,2.039,-0.430732879431931
7.5,1.5,2.042,-0.437246690388894
7.5,1.5,2.045,-0.443927465306034
7.5,1.5,2.048,-0.450781172611559
7.5,1.5,2.051,-0.457814048204642
7.5,1.5,2.054,-0.465032609781708
7.5,1.5,2.057,-0.472443672053119
7.5,1.5,2.06,-0.480054362912999
7.5,1.5,2.063,-0.487872140630151
7.5,1.5,2.066,-0.495904812133244
7.5,1.5,2.069,-0.504160552469404
7.5,1.5,2.072,-0.512647925521693
7.5,1.5,2.075,-0.521375906077923
7.5,1.5,2.078,-0.530353903350864
7.5,1.5,2.081,-0.539591786058121
7.5,1.5,2.084,-0.549099909178978
7.5,1.5,2.087,-0.558889142515392
7.5,1.5,2.09,-0.568970901195057
7.5,1.5,2.093,-0.579357178266126
7.5,1.5,2.096,-0.5900605795462
7.5,1.5,2.099,-0.601094360902107
7.5,1.5,2.102,-0.612472468152466
7.5,1.5,2.105,-0.624209579801913
7.5,1.5,2.108,-0.636321152834423
7.5,1.5,2.111,-0.648823471813377
7.5,1.5,2.114,-0.661733701558411
7.5,1.5,2.117,-0.675069943693646
7.5,1.5,2.12,-0.688851297388757
7.5,1.5,2.123,-0.703097924644029
7.5,1.5,2.126,-0.717831120503388
7.5,1.5,2.129,-0.733073388615093
7.5,1.5,2.132,-0.748848522599818
7.5,1.5,2.135,-0.765181693729404
7.5,1.5,2.138,-0.782099545468205
7.5,1.5,2.141,-0.799630295482203
7.5,1.5,2.144,-0.817803845780511
7.5,1.5,2.147,-0.836651901719165
7.5,1.5,2.15,-0.856208100669893
7.5,1.5,2.153,-0.876508151236876
7.5,1.5,2.156,-0.897589983993979
7.5,1.5,2.159,-0.919493914814034
7.5,1.5,2.162,-0.942262821972115
7.5,1.5,2.165,-0.965942338327465
7.5,1.5,2.168,-0.990581060025362
7.5,1.5,2.171,-1.01623077331263
7.5,1.5,2.174,-1.04294670123048
7.5,1.5,2.177,-1.07078777213818
7.5,1.5,2.18,-1.09981691223371
7.5,1.5,2.183,-1.13010136447472
7.5,1.5,2.186,-1.16171303657004
7.5,1.5,2.189,-1.19472888101067
7.5,1.5,2.192,-1.22923131044492
7.5,1.5,2.195,-1.26530865208061
7.5,1.5,2.198,-1.30305564522276
7.5,1.5,2.201,-1.34257398653588
7.5,1.5,2.204,-1.38397292816329
7.5,1.5,2.207,-1.42736993445145
7.5,1.5,2.21,-1.4728914037253
7.5,1.5,2.213,-1.52067346235552
7.5,1.5,2.216,-1.57086283926427
7.5,1.5,2.219,-1.62361783005146
7.5,1.5,2.222,-1.67910936111119
7.5,1.5,2.225,-1.7375221654737
7.5,1.5,2.228,-1.79905608368475
7.5,1.5,2.231,-1.86392750486119
7.5,1.5,2.234,-1.93237096518767
7.5,1.5,2.237,-2.00464092360454
7.5,1.5,2.24,-2.08101373735813
7.5,1.5,2.243,-2.16178986353474
7.5,1.5,2.246,-2.24729631680154
7.5,1.5,2.249,-2.3378894184826
7.5,1.5,2.252,-2.43395787800633
7.5,1.5,2.255,-2.53592625492548
7.5,1.5,2.258,-2.64425885846779
7.5,1.5,2.261,-2.7594641523608
7.5,1.5,2.264,-2.88209974606785
7.5,1.5,2.267,-3.01277807034353
7.5,1.5,2.27,-3.15217285619762
7.5,1.5,2.273,-3.30102656334077
7.5,1.5,2.276,-3.460158938866
7.5,1.5,2.279,-3.63047693189483
7.5,1.5,2.282,-3.81298624877148
7.5,1.5,2.285,-4.0088049111251
7.5,1.5,2.288,-4.2191792827746
7.5,1.5,2.291,-4.44550317103652
7.5,1.5,2.294,-4.68934079791307
7.5,1.5,2.297,-4.95245469787084
7.5,1.5,2.3,-5.23683996247968
7.5,1.5,2.303,-5.54476676459432
7.5,1.5,2.306,-5.87883382706057
7.5,1.5,2.309,-6.24203656360005
7.5,1.5,2.312,-6.63785518806568
7.5,1.5,2.315,-7.07037044786817
7.5,1.5,2.318,-7.54441826353024
7.5,1.5,2.321,-8.06580026438114
7.5,1.5,2.324,-8.64157644326141
7.5,1.5,2.327,-9.28048155594025
7.5,1.5,2.33,-9.99353351029048
7.5,1.5,2.333,-10.7949499017549
7.5,1.5,2.336,-11.7035792517542
7.5,1.5,2.339,-12.7452337811985
7.5,1.5,2.342,-13.9566944817589
7.5,1.5,2.345,-15.3930441558474
7.5,1.5,2.348,-17.142229004229
7.5,1.5,2.351,-19.3571393299058
7.5,1.5,2.354,-22.3360344515861
7.5,1.5,2.357,-26.7437210543239
7.5,1.5,2.36,-33.2386020203474
7.5,1.5,2.363,-30.2897129028047
7.5,1.5,2.366,-24.5659917250916
7.5,1.5,2.369,-20.9046562197366
7.5,1.5,2.372,-18.3115002611226
7.5,1.5,2.375,-16.3247556097639
7.5,1.5,2.378,-14.7254609428291
7.5,1.5,2.381,-13.3950702458649
7.5,1.5,2.384,-12.2625829829452
7.5,1.5,2.387,-11.2821697195505
7.5,1.5,2.39,-10.4225098359059
7.5,1.5,2.393,-9.6612143741641
7.5,1.5,2.396,-8.98168744665326
7.5,1.5,2.399,-8.37125366727884
7.5,1.5,2.402,-7.81998643072065
7.5,1.5,2.405,-7.31994516516148
7.5,1.5,2.408,-6.86466195264856
7.5,1.5,2.411,-6.44878594256961
7.5,1.5,2.414,-6.06783082610615
7.5,1.5,2.417,-5.71799149203211
7.5,1.5,2.42,-5.39600824592562
7.5,1.5,2.423,-5.0990644290345
7.5,1.5,2.426,-4.82470793888696
7.5,1.5,2.429,-4.57079015044515
7.5,1.5,2.432,-4.33541770563841
7.5,1.5,2.435,-4.11691395937102
7.5,1.5,2.438,-3.91378777147107
7.5,1.5,2.441,-3.72470795947455
7.5,1.5,2.444,-3.54848216747545
7.5,1.5,2.447,-3.38403922042722
7.5,1.5,2.45,-3.23041426015225
7.5,1.5,2.453,-3.08673612500847
7.5,1.5,2.456,-2.95221655745797
7.5,1.5,2.459,-2.8261409149562
7.5,1.5,2.462,-2.70786012821096
7.5,1.5,2.465,-2.5967837030052
7.5,1.5,2.468,-2.49237360176284
7.5,1.5,2.471,-2.39413887197361
7.5,1.5,2.474,-2.30163091274416
7.5,1.5,2.477,-2.21443928976296
7.5,1.5,2.48,-2.1321880240771
7.5,1.5,2.483,-2.05453229218494
7.5,1.5,2.486,-1.98115548473179
7.5,1.5,2.489,-1.9117665790626
7.5,1.5,2.492,-1.84609778742757
7.5,1.5,2.495,-1.78390244804638
7.5,1.5,2.498,-1.72495313074435
7.5,1.5,2.501,-1.66903993265278
7.5,1.5,2.504,-1.61596894265575
7.5,1.5,2.507,-1.56556085597284
7.5,1.5,2.51,-1.51764972257743
7.5,1.5,2.513,-1.47208181513145
7.5,1.5,2.516,-1.42871460382466
7.5,1.5,2.519,-1.38741582698217
7.5,1.5,2.522,-1.34806264758619
7.5,1.5,2.525,-1.31054088697469
7.5,1.5,2.528,-1.27474432795479
7.5,1.5,2.531,-1.24057408042458
7.5,1.5,2.534,-1.20793800334757
7.5,1.5,2.537,-1.17675017758568
7.5,1.5,2.54,-1.14693042468031
7.5,1.5,2.543,-1.11840386718686
7.5,1.5,2.546,-1.0911005266252
7.5,1.5,2.549,-1.06495495551373
7.5,1.5,2.552,-1.03990590031529
7.5,1.5,2.555,-1.01589599244292
7.5,1.5,2.558,-0.992871464759708
7.5,1.5,2.561,-0.970781891260959
7.5,1.5,2.564,-0.949579947854688
7.5,1.5,2.567,-0.929221192359596
7.5,1.5,2.57,-0.90966386202174
7.5,1.5,2.573,-0.890868687013971
7.5,1.5,2.576,-0.872798718528504
7.5,1.5,2.579,-0.85541917020423
7.5,1.5,2.582,-0.838697271748164
7.5,1.5,2.585,-0.822602133716571
