"lP [mm]","wF [mm]","Freq [GHz]","dB(S(1,1)) []"
27.8,0.5,1.85,-0.106830982696338
27.8,0.5,1.853,-0.107557813950731
27.8,0.5,1.856,-0.108293716892608
27.8,0.5,1.859,-0.109038861220549
27.8,0.5,1.862,-0.109793420992479
27.8,0.5,1.865,-0.110557574759712
27.8,0.5,1.868,-0.111331505705811
27.8,0.5,1.871,-0.112115401790387
27.8,0.5,1.874,-0.112909455898134
27.8,0.5,1.877,-0.113713865993253
27.8,0.5,1.88,-0.114528835279485
27.8,0.5,1.883,-0.115354572366069
27.8,0.5,1.886,-0.116191291439748
27.8,0.5,1.889,-0.117039212443203
27.8,0.5,1.892,-0.1178985612601
27.8,0.5,1.895,-0.11876956990709
27.8,0.5,1.898,-0.119652476733015
27.8,0.5,1.901,-0.120547526625673
27.8,0.5,1.904,-0.121454971226437
27.8,0.5,1.907,-0.122375069153107
27.8,0.5,1.91,-0.123308086231307
27.8,0.5,1.913,-0.124254295734861
27.8,0.5,1.916,-0.125213978635493
27.8,0.5,1.919,-0.12618742386232
27.8,0.5,1.922,-0.127174928571525
27.8,0.5,1.925,-0.128176798426709
27.8,0.5,1.928,-0.129193347890396
27.8,0.5,1.931,-0.13022490052717
27.8,0.5,1.934,-0.131271789319049
27.8,0.5,1.937,-0.13233435699356
27.8,0.5,1.94,-0.133412956365208
27.8,0.5,1.943,-0.134507950690895
27.8,0.5,1.946,-0.13561971403994
27.8,0.5,1.949,-0.136748631679461
27.8,0.5,1.952,-0.137895100475754
27.8,0.5,1.955,-0.13905952931251
27.8,0.5,1.958,-0.140242339526616
27.8,0.5,1.961,-0.141443965362444
27.8,0.5,1.964,-0.142664854445487
27.8,0.5,1.967,-0.143905468276299
27.8,0.5,1.97,-0.145166282745736
27.8,0.5,1.973,-0.146447788672565
27.8,0.5,1.976,-0.147750492364524
27.8,0.5,1.979,-0.14907491620402
27.8,0.5,1.982,-0.150421599259731
27.8,0.5,1.985,-0.151791097925364
27.8,0.5,1.988,-0.153183986587007
27.8,0.5,1.991,-0.154600858320513
27.8,0.5,1.994,-0.156042325620484
27.8,0.5,1.997,-0.157509021162451
27.8,0.5,2,-0.159001598600038
27.8,0.5,2.003,-0.160520733398916
27.8,0.5,2.006,-0.162067123709488
27.8,0.5,2.009,-0.163641491280381
27.8,0.5,2.012,-0.165244582414936
27.8,0.5,2.015,-0.166877168972952
27.8,0.5,2.018,-0.168540049420262
27.8,0.5,2.021,-0.170234049928592
27.8,0.5,2.024,-0.171960025528594
27.8,0.5,2.027,-0.173718861318951
27.8,0.5,2.03,-0.175511473734622
27.8,0.5,2.033,-0.177338811877638
27.8,0.5,2.036,-0.179201858913904
27.8,0.5,2.039,-0.181101633539753
27.8,0.5,2.042,-0.183039191522302
27.8,0.5,2.045,-0.185015627317789
27.8,0.5,2.048,-0.187032075772434
27.8,0.5,2.051,-0.189089713910658
27.8,0.5,2.054,-0.191189762815746
27.8,0.5,2.057,-0.193333489608471
27.8,0.5,2.06,-0.195522209529468
27.8,0.5,2.063,-0.197757288131625
27.8,0.5,2.066,-0.200040143589084
27.8,0.5,2.069,-0.202372249130006
27.8,0.5,2.072,-0.204755135600606
27.8,0.5,2.075,-0.207190394168662
27.8,0.5,2.078,-0.209679679175036
27.8,0.5,2.081,-0.212224711142591
27.8,0.5,2.084,-0.214827279952367
27.8,0.5,2.087,-0.217489248197645
27.8,0.5,2.09,-0.220212554727298
27.8,0.5,2.093,-0.222999218390629
27.8,0.5,2.096,-0.225851341996769
27.8,0.5,2.099,-0.228771116502707
27.8,0.5,2.102,-0.231760825444988
27.8,0.5,2.105,-0.23482284963129
27.8,0.5,2.108,-0.2379596721093
27.8,0.5,2.111,-0.241173883431537
27.8,0.5,2.114,-0.244468187236323
27.8,0.5,2.117,-0.247845406166487
27.8,0.5,2.12,-0.251308488149177
27.8,0.5,2.123,-0.254860513061892
27.8,0.5,2.126,-0.258504699811853
27.8,0.5,2.129,-0.262244413857874
27.8,0.5,2.132,-0.266083175206364
27.8,0.5,2.135,-0.270024666915485
27.8,0.5,2.138,-0.274072744144257
27.8,0.5,2.141,-0.278231443786426
27.8,0.5,2.144,-0.28250499473216
27.8,0.5,2.147,-0.286897828804165
27.8,0.5,2.15,-0.291414592418696
27.8,0.5,2.153,-0.296060159026148
27.8,0.5,2.156,-0.300839642390616
27.8,0.5,2.159,-0.305758410772733
27.8,0.5,2.162,-0.310822102085733
27.8,0.5,2.165,-0.316036640100652
27.8,0.5,2.168,-0.321408251783289
27.8,0.5,2.171,-0.326943485852711
27.8,0.5,2.174,-0.332649232659119
27.8,0.5,2.177,-0.338532745487614
27.8,0.5,2.18,-0.344601663404001
27.8,0.5,2.183,-0.350864035769268
27.8,0.5,2.186,-0.357328348561084
27.8,0.5,2.189,-0.364003552653302
27.8,0.5,2.192,-0.370899094218601
27.8,0.5,2.195,-0.37802494743482
27.8,0.5,2.198,-0.385391649692717
27.8,0.5,2.201,-0.393010339521586
27.8,0.5,2.204,-0.400892797470137
27.8,0.5,2.207,-0.409051490202901
27.8,0.5,2.21,-0.417499618097943
27.8,0.5,2.213,-0.426251166659741
27.8,0.5,2.216,-0.435320962092266
27.8,0.5,2.219,-0.444724731411696
27.8,0.5,2.222,-0.454479167516631
27.8,0.5,2.225,-0.464601999675837
27.8,0.5,2.228,-0.475112069940799
27.8,0.5,2.231,-0.486029416042546
27.8,0.5,2.234,-0.497375361390229
27.8,0.5,2.237,-0.509172612853528
27.8,0.5,2.24,-0.521445367082647
27.8,0.5,2.243,-0.534219426199525
27.8,0.5,2.246,-0.547522323782651
27.8,0.5,2.249,-0.561383462166806
27.8,0.5,2.252,-0.575834262189095
27.8,0.5,2.255,-0.590908326635215
27.8,0.5,2.258,-0.606641618776494
27.8,0.5,2.261,-0.623072657540172
27.8,0.5,2.264,-0.640242731024747
27.8,0.5,2.267,-0.658196130260599
27.8,0.5,2.27,-0.676980405325665
27.8,0.5,2.273,-0.696646646159104
27.8,0.5,2.276,-0.717249790674586
27.8,0.5,2.279,-0.738848963062098
27.8,0.5,2.282,-0.761507845485235
27.8,0.5,2.285,-0.785295086732498
27.8,0.5,2.288,-0.810284751769041
27.8,0.5,2.291,-0.836556816561529
27.8,0.5,2.294,-0.864197713015706
27.8,0.5,2.297,-0.89330092937516
27.8,0.5,2.3,-0.923967671980922
27.8,0.5,2.303,-0.956307594884061
27.8,0.5,2.306,-0.990439604433648
27.8,0.5,2.309,-1.02649274662435
27.8,0.5,2.312,-1.06460718567023
27.8,0.5,2.315,-1.10493528295723
27.8,0.5,2.318,-1.1476427861911
27.8,0.5,2.321,-1.19291013916256
27.8,0.5,2.324,-1.24093392304566
27.8,0.5,2.327,-1.29192844045313
27.8,0.5,2.33,-1.34612745349307
27.8,0.5,2.333,-1.40378608666036
27.8,0.5,2.336,-1.46518290436207
27.8,0.5,2.339,-1.5306221709512
27.8,0.5,2.342,-1.60043629796906
27.8,0.5,2.345,-1.67498847838274
27.8,0.5,2.348,-1.75467550028944
27.8,0.5,2.351,-1.839930721947
27.8,0.5,2.354,-1.93122717486702
27.8,0.5,2.357,-2.02908074043414
27.8,0.5,2.36,-2.13405331586918
27.8,0.5,2.363,-2.24675584432864
27.8,0.5,2.366,-2.36785102744892
27.8,0.5,2.369,-2.49805546117234
27.8,0.5,2.372,-2.63814082973737
27.8,0.5,2.375,-2.78893364813595
27.8,0.5,2.378,-2.95131284645504
27.8,0.5,2.381,-3.12620422201489
27.8,0.5,2.384,-3.3145704228646
27.8,0.5,2.387,-3.51739463764184
27.8,0.5,2.39,-3.73565551294945
27.8,0.5,2.393,-3.97028995475158
27.8,0.5,2.396,-4.22213934911239
27.8,0.5,2.399,-4.49187333068514
27.8,0.5,2.402,-4.77988356051285
27.8,0.5,2.405,-5.08613820888986
27.8,0.5,2.408,-5.40998642476555
27.8,0.5,2.411,-5.74990202395907
