"dI [mm]","Freq [GHz]","lP [mm]","Phi [deg]","wF [mm]","Theta [deg]","dB(GainTotal) []"
7.5,2.45,27.8,0,1.5,-180,-10.9377487479249
7.5,2.45,27.8,0,1.5,-178,-10.995104011155
7.5,2.45,27.8,0,1.5,-176,-11.0587897971015
7.5,2.45,27.8,0,1.5,-174,-11.1288354442039
7.5,2.45,27.8,0,1.5,-172,-11.2050046516328
7.5,2.45,27.8,0,1.5,-170,-11.2867696611872
7.5,2.45,27.8,0,1.5,-168,-11.3732900401651
7.5,2.45,27.8,0,1.5,-166,-11.4633977180954
7.5,2.45,27.8,0,1.5,-164,-11.5555904368288
7.5,2.45,27.8,0,1.5,-162,-11.6480362926186
7.5,2.45,27.8,0,1.5,-160,-11.7385924502495
7.5,2.45,27.8,0,1.5,-158,-11.8248412071384
7.5,2.45,27.8,0,1.5,-156,-11.9041461523969
7.5,2.45,27.8,0,1.5,-154,-11.9737299764596
7.5,2.45,27.8,0,1.5,-152,-12.030773395566
7.5,2.45,27.8,0,1.5,-150,-12.0725317033884
7.5,2.45,27.8,0,1.5,-148,-12.0964619794892
7.5,2.45,27.8,0,1.5,-146,-12.1003506293044
7.5,2.45,27.8,0,1.5,-144,-12.0824286014908
7.5,2.45,27.8,0,1.5,-142,-12.0414612210891
7.5,2.45,27.8,0,1.5,-140,-11.9768016377515
7.5,2.45,27.8,0,1.5,-138,-11.8884013117318
7.5,2.45,27.8,0,1.5,-136,-11.7767769011394
7.5,2.45,27.8,0,1.5,-134,-11.6429390091277
7.5,2.45,27.8,0,1.5,-132,-11.4882930803337
7.5,2.45,27.8,0,1.5,-130,-11.3145253156684
7.5,2.45,27.8,0,1.5,-128,-11.1234865357872
7.5,2.45,27.8,0,1.5,-126,-10.917084893593
7.5,2.45,27.8,0,1.5,-124,-10.6971950667359
7.5,2.45,27.8,0,1.5,-122,-10.4655879775679
7.5,2.45,27.8,0,1.5,-120,-10.2238819158615
7.5,2.45,27.8,0,1.5,-118,-9.97351358326922
7.5,2.45,27.8,0,1.5,-116,-9.71572613846759
7.5,2.45,27.8,0,1.5,-114,-9.45157068890714
7.5,2.45,27.8,0,1.5,-112,-9.18191763945083
