"dI [mm]","wF [mm]","Freq [GHz]","dB(S(1,1)) []"
5,3.33333333333333,1.85,-0.386174943489015
5,3.33333333333333,1.853,-0.390470836221237
5,3.33333333333333,1.856,-0.394831255646886
5,3.33333333333333,1.859,-0.399257477632459
5,3.33333333333333,1.862,-0.403750811841307
5,3.33333333333333,1.865,-0.408312602764993
5,3.33333333333333,1.868,-0.412944230790749
5,3.33333333333333,1.871,-0.417647113306494
5,3.33333333333333,1.874,-0.422422705844867
5,3.33333333333333,1.877,-0.427272503267792
5,3.33333333333333,1.88,-0.432198040993149
5,3.33333333333333,1.883,-0.43720089626527
5,3.33333333333333,1.886,-0.442282689470907
5,3.33333333333333,1.889,-0.447445085502544
5,3.33333333333333,1.892,-0.452689795170923
5,3.33333333333333,1.895,-0.458018576668689
5,3.33333333333333,1.898,-0.463433237087285
5,3.33333333333333,1.901,-0.468935633989168
5,3.33333333333333,1.904,-0.474527677037605
5,3.33333333333333,1.907,-0.480211329686339
5,3.33333333333333,1.91,-0.485988610931618
5,3.33333333333333,1.913,-0.491861597129002
5,3.33333333333333,1.916,-0.49783242387771
5,3.33333333333333,1.919,-0.503903287975167
5,3.33333333333333,1.922,-0.510076449444667
5,3.33333333333333,1.925,-0.516354233639152
5,3.33333333333333,1.928,-0.522739033424214
5,3.33333333333333,1.931,-0.529233311443583
5,3.33333333333333,1.934,-0.535839602470555
5,3.33333333333333,1.937,-0.542560515848856
5,3.33333333333333,1.94,-0.549398738026695
5,3.33333333333333,1.943,-0.556357035187855
5,3.33333333333333,1.946,-0.563438255983904
5,3.33333333333333,1.949,-0.570645334371686
5,3.33333333333333,1.952,-0.577981292560566
5,3.33333333333333,1.955,-0.585449244073975
5,3.33333333333333,1.958,-0.593052396930069
5,3.33333333333333,1.961,-0.600794056946526
5,3.33333333333333,1.964,-0.60867763117468
5,3.33333333333333,1.967,-0.616706631468455
5,3.33333333333333,1.97,-0.624884678193801
5,3.33333333333333,1.973,-0.633215504084517
5,3.33333333333333,1.976,-0.641702958250742
5,3.33333333333333,1.979,-0.650351010346457
5,3.33333333333333,1.982,-0.659163754902819
5,3.33333333333333,1.985,-0.668145415834303
5,3.33333333333333,1.988,-0.677300351124969
5,3.33333333333333,1.991,-0.686633057702512
5,3.33333333333333,1.994,-0.696148176507977
5,3.33333333333333,1.997,-0.705850497769498
5,3.33333333333333,2,-0.71574496648859
5,3.33333333333333,2.003,-0.725836688148031
5,3.33333333333333,2.006,-0.736130934650665
5,3.33333333333333,2.009,-0.746633150498763
5,3.33333333333333,2.012,-0.757348959224149
5,3.33333333333333,2.015,-0.768284170079513
5,3.33333333333333,2.018,-0.77944478500181
5,3.33333333333333,2.021,-0.790837005859105
5,3.33333333333333,2.024,-0.80246724199255
5,3.33333333333333,2.027,-0.81434211806571
5,3.33333333333333,2.03,-0.826468482233805
5,3.33333333333333,2.033,-0.838853414645921
5,3.33333333333333,2.036,-0.851504236293735
5,3.33333333333333,2.039,-0.864428518220599
5,3.33333333333333,2.042,-0.87763409110543
5,3.33333333333333,2.045,-0.891129055236219
5,3.33333333333333,2.048,-0.904921790888357
5,3.33333333333333,2.051,-0.919020969123499
5,3.33333333333333,2.054,-0.933435563025022
5,3.33333333333333,2.057,-0.948174859386464
5,3.33333333333333,2.06,-0.963248470869807
