"lP [mm]","Freq [GHz]","dB(S(1,1)) []"
27.5,1.85,-0.178585833679528
27.5,1.853,-0.179901038646704
27.5,1.856,-0.181232284021221
27.5,1.859,-0.182579826752348
27.5,1.862,-0.183943930569647
27.5,1.865,-0.185324866166166
27.5,1.868,-0.186722911387841
27.5,1.871,-0.188138351429395
27.5,1.874,-0.189571479036921
27.5,1.877,-0.191022594717485
27.5,1.88,-0.192492006955922
27.5,1.883,-0.193980032439199
27.5,1.886,-0.195486996288574
27.5,1.889,-0.197013232299878
27.5,1.892,-0.198559083192256
27.5,1.895,-0.200124900865664
27.5,1.898,-0.201711046667497
27.5,1.901,-0.203317891668719
27.5,1.904,-0.204945816949839
27.5,1.907,-0.206595213897179
27.5,1.91,-0.208266484509787
27.5,1.913,-0.209960041717515
27.5,1.916,-0.211676309710621
27.5,1.919,-0.213415724281456
27.5,1.922,-0.215178733178671
27.5,1.925,-0.216965796474485
27.5,1.928,-0.218777386945601
27.5,1.931,-0.22061399046825
27.5,1.934,-0.222476106428059
27.5,1.937,-0.224364248145295
27.5,1.94,-0.226278943316182
27.5,1.943,-0.228220734470965
27.5,1.946,-0.230190179449445
27.5,1.949,-0.23218785189474
27.5,1.952,-0.234214341766046
27.5,1.955,-0.236270255871274
27.5,1.958,-0.238356218420398
27.5,1.961,-0.240472871600412
27.5,1.964,-0.24262087617294
27.5,1.967,-0.244800912095397
27.5,1.97,-0.247013679166845
27.5,1.973,-0.249259897699624
27.5,1.976,-0.251540309217929
27.5,1.979,-0.253855677184553
27.5,1.982,-0.256206787757128
27.5,1.985,-0.258594450575176
27.5,1.988,-0.261019499579416
27.5,1.991,-0.263482793864846
27.5,1.994,-0.265985218569172
27.5,1.997,-0.268527685798239
27.5,2,-0.271111135590256
27.5,2.003,-0.273736536920595
27.5,2.006,-0.276404888749212
27.5,2.009,-0.279117221112634
27.5,2.012,-0.281874596262762
27.5,2.015,-0.284678109854738
27.5,2.018,-0.287528892186246
27.5,2.021,-0.290428109490892
27.5,2.024,-0.293376965288203
27.5,2.027,-0.296376701793213
27.5,2.03,-0.299428601388516
27.5,2.033,-0.30253398816201
27.5,2.036,-0.305694229513662
27.5,2.039,-0.308910737834764
27.5,2.042,-0.312184972263504
27.5,2.045,-0.315518440520711
27.5,2.048,-0.318912700829996
27.5,2.051,-0.32236936392671
27.5,2.054,-0.325890095160357
27.5,2.057,-0.329476616695463
27.5,2.06,-0.333130709816116
27.5,2.063,-0.336854217339774
27.5,2.066,-0.340649046146191
27.5,2.069,-0.344517169827786
27.5,2.072,-0.348460631468014
27.5,2.075,-0.352481546554851
27.5,2.078,-0.356582106036834
27.5,2.081,-0.360764579529609
27.5,2.084,-0.365031318681433
27.5,2.087,-0.369384760706586
27.5,2.09,-0.373827432096252
27.5,2.093,-0.378361952517005
27.5,2.096,-0.382991038907681
27.5,2.099,-0.387717509786159
27.5,2.102,-0.392544289778268
27.5,2.105,-0.397474414381846
27.5,2.108,-0.402511034979891
27.5,2.111,-0.407657424117556
27.5,2.114,-0.41291698105886
27.5,2.117,-0.418293237639892
27.5,2.12,-0.423789864436603
27.5,2.123,-0.429410677266311
27.5,2.126,-0.435159644043534
27.5,2.129,-0.44104089201205
27.5,2.132,-0.447058715376671
27.5,2.135,-0.453217583359866
27.5,2.138,-0.459522148710061
27.5,2.141,-0.465977256690401
27.5,2.144,-0.472587954578861
27.5,2.147,-0.479359501712614
27.5,2.15,-0.486297380112225
27.5,2.153,-0.493407305723533
27.5,2.156,-0.500695240318072
27.5,2.159,-0.508167404095812
27.5,2.162,-0.515830289037197
27.5,2.165,-0.5236906730551
27.5,2.168,-0.531755635000996
27.5,2.171,-0.540032570583852
27.5,2.174,-0.548529209264661
27.5,2.177,-0.557253632194416
27.5,2.18,-0.566214291268565
27.5,2.183,-0.575420029376633
27.5,2.186,-0.58488010193197
27.5,2.189,-0.594604199773265
27.5,2.192,-0.604602473536727
27.5,2.195,-0.6148855596059
27.5,2.198,-0.625464607754552
27.5,2.201,-0.63635131060772
27.5,2.204,-0.647557935056002
27.5,2.207,-0.659097355769597
27.5,2.21,-0.670983090970654
27.5,2.213,-0.683229340635813
27.5,2.216,-0.6958510273155
27.5,2.219,-0.708863839772187
27.5,2.222,-0.722284279657469
27.5,2.225,-0.736129711466614
27.5,2.228,-0.750418416030127
27.5,2.231,-0.765169647824739
27.5,2.234,-0.780403696411083
27.5,2.237,-0.796141952332845
27.5,2.24,-0.812406977842214
27.5,2.243,-0.829222582849502
27.5,2.246,-0.846613906531204
27.5,2.249,-0.864607505070595
27.5,2.252,-0.883231446049034
27.5,2.255,-0.902515410054561
27.5,2.258,-0.922490800127733
27.5,2.261,-0.943190859723557
27.5,2.264,-0.964650799933363
27.5,2.267,-0.986907936782333
27.5,2.27,-1.01000183949775
27.5,2.273,-1.0339744907309
27.5,2.276,-1.05887045981305
27.5,2.279,-1.08473709023341
27.5,2.282,-1.11162470264727
27.5,2.285,-1.13958681485488
27.5,2.288,-1.16868038033979
27.5,2.291,-1.19896604711977
27.5,2.294,-1.23050843884666
27.5,2.297,-1.2633764602959
27.5,2.3,-1.29764362961504
27.5,2.303,-1.33338843995547
27.5,2.306,-1.37069475339814
27.5,2.309,-1.40965223040446
27.5,2.312,-1.45035679838411
27.5,2.315,-1.49291116337767
27.5,2.318,-1.53742536930892
27.5,2.321,-1.58401740977974
27.5,2.324,-1.632813897966
27.5,2.327,-1.68395080083878
27.5,2.33,-1.73757424469324
27.5,2.333,-1.79384139983364
27.5,2.336,-1.85292145325566
27.5,2.339,-1.91499667930918
27.5,2.342,-1.98026361964346
27.5,2.345,-2.04893438526622
27.5,2.348,-2.12123809533023
27.5,2.351,-2.19742246934754
27.5,2.354,-2.27775559198812
27.5,2.357,-2.36252787252686
27.5,2.36,-2.45205422446594
27.5,2.363,-2.54667649500897
27.5,2.366,-2.64676617906859
27.5,2.369,-2.75272745856865
27.5,2.372,-2.86500061523701
27.5,2.375,-2.98406587424522
27.5,2.378,-3.11044774741839
27.5,2.381,-3.24471995895311
27.5,2.384,-3.38751105448832
27.5,2.387,-3.53951081711057
27.5,2.39,-3.7014776429663
27.5,2.393,-3.87424706667391
27.5,2.396,-4.05874167551066
27.5,2.399,-4.25598271530513
27.5,2.402,-4.46710377553935
27.5,2.405,-4.69336705401605
27.5,2.408,-4.93618285347296
27.5,2.411,-5.19713316942117
27.5,2.414,-5.47800051316008
27.5,2.417,-5.78080351031615
27.5,2.42,-6.1078413744727
27.5,2.423,-6.46175015582709
27.5,2.426,-6.84557482873578
27.5,2.429,-7.26286300489943
27.5,2.432,-7.71778866019469
27.5,2.435,-8.21531827849974
27.5,2.438,-8.76143817007552
27.5,2.441,-9.36347206354875
27.5,2.444,-10.0305354451376
27.5,2.447,-10.7742033883239
27.5,2.45,-11.6095235994109
27.5,2.453,-12.5566112324128
27.5,2.456,-13.6432735754242
27.5,2.459,-14.9095693878145
27.5,2.462,-16.4162763154854
27.5,2.465,-18.261993748562
27.5,2.468,-20.6215318619637
27.5,2.471,-23.8430198418337
27.5,2.474,-28.6814187361156
27.5,2.477,-34.2086121565402
27.5,2.48,-29.1608474583128
27.5,2.483,-24.1486986394309
27.5,2.486,-20.8342536732886
27.5,2.489,-18.4222203138898
27.5,2.492,-16.5431441325319
27.5,2.495,-15.0133503217802
27.5,2.498,-13.7300802727736
27.5,2.501,-12.6303785657856
27.5,2.504,-11.6729443759947
27.5,2.507,-10.8292131025447
27.5,2.51,-10.0785825083488
27.5,2.513,-9.40567753731872
27.5,2.516,-8.79869478719729
27.5,2.519,-8.24835428928637
27.5,2.522,-7.74721038359873
27.5,2.525,-7.28918400397588
27.5,2.528,-6.86923641975087
27.5,2.531,-6.48313615191215
27.5,2.534,-6.12728890562073
27.5,2.537,-5.79861111986496
27.5,2.54,-5.49443433045708
27.5,2.543,-5.21243170187332
27.5,2.546,-4.95056077312861
27.5,2.549,-4.70701824151507
27.5,2.552,-4.48020380791856
27.5,2.555,-4.26869093147059
27.5,2.558,-4.07120291638701
27.5,2.561,-3.88659316104823
27.5,2.564,-3.71382869151577
27.5,2.567,-3.55197631378899
27.5,2.57,-3.40019087481192
27.5,2.573,-3.2577052377074
27.5,2.576,-3.12382166316567
27.5,2.579,-2.99790435422006
27.5,2.582,-2.87937297140304
27.5,2.585,-2.76769696350701
27.5,2.588,-2.66239058878337
27.5,2.591,-2.56300852452963
27.5,2.594,-2.46914198120037
27.5,2.597,-2.38041525159648
27.5,2.6,-2.29648263720765
27.5,2.603,-2.21702570305485
27.5,2.606,-2.14175081990008
27.5,2.609,-2.0703869588337
27.5,2.612,-2.00268370830333
27.5,2.615,-1.93840948783611
27.5,2.618,-1.87734993619775
27.5,2.621,-1.81930645466341
27.5,2.624,-1.76409488855024
27.5,2.627,-1.71154433226443
27.5,2.63,-1.66149604491039
27.5,2.633,-1.61380246505106
27.5,2.636,-1.56832631453651
27.5,2.639,-1.52493978246911
27.5,2.642,-1.4835237813737
27.5,2.645,-1.44396726851448
27.5,2.648,-1.40616662606474
27.5,2.651,-1.37002509450676
27.5,2.654,-1.33545225423108
27.5,2.657,-1.30236355082581
27.5,2.66,-1.27067986000938
27.5,2.663,-1.24032708856968
27.5,2.666,-1.21123580803684
27.5,2.669,-1.18334091814148
27.5,2.672,-1.15658133739903
27.5,2.675,-1.13089971841953
27.5,2.678,-1.10624218577283
27.5,2.681,-1.08255809444655
27.5,2.684,-1.05979980711935
27.5,2.687,-1.03792248863877
27.5,2.69,-1.01688391624258
27.5,2.693,-0.996644304197481
27.5,2.696,-0.977166141649865
27.5,2.699,-0.958414042593214
27.5,2.702,-0.94035460695507
27.5,2.705,-0.922956291895591
27.5,2.708,-0.90618929249051
27.5,2.711,-0.890025431043783
27.5,2.714,-0.874438054341527
27.5,2.717,-0.85940193821829
27.5,2.72,-0.844893198861049
27.5,2.723,-0.830889210325367
27.5,2.726,-0.817368527782875
27.5,2.729,-0.804310816059578
27.5,2.732,-0.791696783061653
27.5,2.735,-0.77950811771862
27.5,2.738,-0.767727432104567
27.5,2.741,-0.756338207425723
27.5,2.744,-0.745324743588217
27.5,2.747,-0.734672112082851
27.5,2.75,-0.724366111944886
27.5,2.753,-0.714393228566194
27.5,2.756,-0.704740595154631
27.5,2.759,-0.695395956651712
27.5,2.762,-0.686347635934385
27.5,2.765,-0.677584502140221
27.5,2.768,-0.669095940967683
27.5,2.771,-0.660871826814503
27.5,2.774,-0.65290249662767
27.5,2.777,-0.645178725347926
27.5,2.78,-0.63769170284059
27.5,2.783,-0.63043301221254
27.5,2.786,-0.623394609422508
27.5,2.789,-0.616568804098853
27.5,2.792,-0.609948241485014
27.5,2.795,-0.603525885438798
27.5,2.798,-0.597295002416928
27.5,2.801,-0.591249146381142
27.5,2.804,-0.585382144566705
27.5,2.807,-0.579688084058365
27.5,2.81,-0.574161299122642
27.5,2.813,-0.56879635924887
27.5,2.816,-0.563588057854732
27.5,2.819,-0.55853140161512
27.5,2.822,-0.553621600375826
27.5,2.825,-0.548854057616374
27.5,2.828,-0.544224361428525
27.5,2.831,-0.539728275979382
27.5,2.834,-0.535361733429987
27.5,2.837,-0.531120826282265
27.5,2.84,-0.527001800129033
27.5,2.843,-0.523001046783268
27.5,2.846,-0.519115097764531
27.5,2.849,-0.515340618121841
27.5,2.852,-0.511674400573558
27.5,2.855,-0.508113359946132
