"dI [mm]","lP [mm]","wF [mm]","Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
7.5,27.8,1.5,1.85,4.81804122664621,143.658188523048
7.5,27.8,1.5,1.853,4.9094221415444,144.55595666038
7.5,27.8,1.5,1.856,5.00313479715605,145.464837894826
7.5,27.8,1.5,1.859,5.0992557328499,146.385070770966
7.5,27.8,1.5,1.862,5.19786458476349,147.316900887853
7.5,27.8,1.5,1.865,5.299044235495,148.260581162639
7.5,27.8,1.5,1.868,5.40288097221366,149.21637210603
7.5,27.8,1.5,1.871,5.50946465372936,150.184542110156
7.5,27.8,1.5,1.874,5.61888888710145,151.165367749533
7.5,27.8,1.5,1.877,5.73125121440906,152.15913409579
7.5,27.8,1.5,1.88,5.84665331035063,153.166135046892
7.5,27.8,1.5,1.883,5.9652011913888,154.186673671634
7.5,27.8,1.5,1.886,6.08700543721316,155.221062570235
7.5,27.8,1.5,1.889,6.21218142534765,156.269624251881
7.5,27.8,1.5,1.892,6.34084957979501,157.332691530151
7.5,27.8,1.5,1.895,6.47313563467675,158.410607937317
7.5,27.8,1.5,1.898,6.60917091390232,159.503728158524
7.5,27.8,1.5,1.901,6.74909262798027,160.612418486989
7.5,27.8,1.5,1.904,6.89304418917187,161.737057301363
7.5,27.8,1.5,1.907,7.04117554628233,162.878035566523
7.5,27.8,1.5,1.91,7.19364354048583,164.035757359097
7.5,27.8,1.5,1.913,7.35061228369661,165.210640419146
7.5,27.8,1.5,1.916,7.51225356111544,166.40311672949
7.5,27.8,1.5,1.919,7.67874725971708,167.613633124278
7.5,27.8,1.5,1.922,7.85028182458879,168.84265192849
7.5,27.8,1.5,1.925,8.02705474518668,170.090651630182
7.5,27.8,1.5,1.928,8.20927307375134,171.35812758739
7.5,27.8,1.5,1.931,8.39715397831186,172.64559277175
7.5,27.8,1.5,1.934,8.59092533291461,173.953578551007
7.5,27.8,1.5,1.937,8.79082634793868,175.282635512744
7.5,27.8,1.5,1.94,8.99710824360823,176.63333433181
7.5,27.8,1.5,1.943,9.21003497008342,178.006266684092
7.5,27.8,1.5,1.946,9.4298839778081,179.402046209455
7.5,27.8,1.5,1.949,9.65694704212227,180.821309526859
7.5,27.8,1.5,1.952,9.89153114650385,182.264717304864
7.5,27.8,1.5,1.955,10.1339594292018,183.732955390962
7.5,27.8,1.5,1.958,10.3845721984555,185.226736003392
7.5,27.8,1.5,1.961,10.6437280219766,186.746798989353
7.5,27.8,1.5,1.964,10.9118048968965,188.293913153788
7.5,27.8,1.5,1.967,11.1892015069653,189.868877663214
7.5,27.8,1.5,1.97,11.476338574434,191.472523529351
7.5,27.8,1.5,1.973,11.77366031476,193.105715177655
7.5,27.8,1.5,1.976,12.081636003066,194.769352106187
7.5,27.8,1.5,1.979,12.4007616621542,196.464370640643
7.5,27.8,1.5,1.982,12.7315618828419,198.191745791743
7.5,27.8,1.5,1.985,13.0745917884597,199.952493221616
7.5,27.8,1.5,1.988,13.4304391565424,201.747671326262
7.5,27.8,1.5,1.991,13.7997267120671,203.578383441658
7.5,27.8,1.5,1.994,14.1831146080656,205.445780181563
7.5,27.8,1.5,1.997,14.5813031110811,207.351061915634
7.5,27.8,1.5,2,14.9950355107621,209.29548139703
7.5,27.8,1.5,2.003,15.4251012749376,211.280346549264
7.5,27.8,1.5,2.006,15.8723394737891,213.307023422708
7.5,27.8,1.5,2.009,16.3376424992913,215.376939331812
7.5,27.8,1.5,2.012,16.8219601089525,217.491586184764
7.5,27.8,1.5,2.015,17.3263038260763,219.652524018043
7.5,27.8,1.5,2.018,17.8517517323723,221.861384749045
7.5,27.8,1.5,2.021,18.399453692771,224.119876160679
7.5,27.8,1.5,2.024,18.9706370568352,226.429786132592
7.5,27.8,1.5,2.027,19.5666128862746,228.792987134407
7.5,27.8,1.5,2.03,20.1887827638274,231.211440997081
7.5,27.8,1.5,2.033,20.8386462452672,233.687203979119
7.5,27.8,1.5,2.036,21.5178090236423,236.22243214505
7.5,27.8,1.5,2.039,22.2279918831515,238.819387073973
7.5,27.8,1.5,2.042,22.9710405294677,241.480441916436
7.5,27.8,1.5,2.045,23.7489363939811,244.208087817981
7.5,27.8,1.5,2.048,24.5638085215291,247.004940727656
7.5,27.8,1.5,2.051,25.4179466649367,249.873748609286
7.5,27.8,1.5,2.054,26.313815725331,252.81739907245
7.5,27.8,1.5,2.057,27.2540716950127,255.838927438591
7.5,27.8,1.5,2.06,28.2415792799873,258.941525255474
7.5,27.8,1.5,2.063,29.279431402459,262.128549270023
7.5,27.8,1.5,2.066,30.3709708100963,265.403530865183
7.5,27.8,1.5,2.069,31.5198140492238,268.770185960499
7.5,27.8,1.5,2.072,32.7298780938267,272.23242536826
7.5,27.8,1.5,2.075,34.0054099620952,275.794365586722
7.5,27.8,1.5,2.078,35.3510196979444,279.460339998521
7.5,27.8,1.5,2.081,36.7717171474477,283.234910425129
7.5,27.8,1.5,2.084,38.2729530204635,287.122878966017
7.5,27.8,1.5,2.087,39.8606647971616,291.12930002295
7.5,27.8,1.5,2.09,41.541328119021,295.259492373831
7.5,27.8,1.5,2.093,43.3220143958531,299.519051114879
7.5,27.8,1.5,2.096,45.2104554662971,303.913859232123
7.5,27.8,1.5,2.099,47.2151162711623,308.450098490074
7.5,27.8,1.5,2.102,49.3452766393519,313.134259233129
7.5,27.8,1.5,2.105,51.6111234475026,317.97314857865
7.5,27.8,1.5,2.108,54.0238545999407,322.973896333576
7.5,27.8,1.5,2.111,56.5957964882156,328.143957780757
7.5,27.8,1.5,2.114,59.3405368327679,333.491112246901
7.5,27.8,1.5,2.117,62.2730750866835,339.023456068269
7.5,27.8,1.5,2.12,65.4099928962872,344.749388196642
7.5,27.8,1.5,2.123,68.76964746839,350.677586216123
7.5,27.8,1.5,2.126,72.372391091108,356.816969944524
7.5,27.8,1.5,2.129,76.2408204942548,363.176649038217
7.5,27.8,1.5,2.132,80.4000602130766,369.76585006394
7.5,27.8,1.5,2.135,84.8780846272395,376.593817291356
7.5,27.8,1.5,2.138,89.7060838691522,383.669679928296
7.5,27.8,1.5,2.141,94.9188793034456,391.002276580518
7.5,27.8,1.5,2.144,100.555394725953,398.599925261888
7.5,27.8,1.5,2.147,106.659189741723,406.470124174261
7.5,27.8,1.5,2.15,113.279061843135,414.619164552577
7.5,27.8,1.5,2.153,120.469723347856,423.051631926012
7.5,27.8,1.5,2.156,128.292558313415,431.769765936183
7.5,27.8,1.5,2.159,136.816462438714,440.772641092825
7.5,27.8,1.5,2.162,146.118765234677,450.055121216226
7.5,27.8,1.5,2.165,156.286227589313,459.60652848019
7.5,27.8,1.5,2.168,167.416098110453,469.408953626635
7.5,27.8,1.5,2.171,179.617196665931,479.435116888886
7.5,27.8,1.5,2.174,193.010971071244,489.645669528925
7.5,27.8,1.5,2.177,207.732439765308,499.98580431109
7.5,27.8,1.5,2.18,223.930885369723,510.381021360865
7.5,27.8,1.5,2.183,241.77009581505,520.731877107875
7.5,27.8,1.5,2.186,261.427854564693,530.907534711901
7.5,27.8,1.5,2.189,283.094251854534,540.737945476637
7.5,27.8,1.5,2.192,306.968217695209,550.004540277903
7.5,27.8,1.5,2.195,333.251460877838,558.429426148631
7.5,27.8,1.5,2.198,362.138741715634,565.663307606685
7.5,27.8,1.5,2.201,393.803134576293,571.272742681416
7.5,27.8,1.5,2.204,428.374710673448,574.727971365358
7.5,27.8,1.5,2.207,465.911014184194,575.393492097244
7.5,27.8,1.5,2.21,506.358027329028,572.524849800048
7.5,27.8,1.5,2.213,549.501344420973,565.27667428237
7.5,27.8,1.5,2.216,594.909412891839,552.728588004994
7.5,27.8,1.5,2.219,641.874333849993,533.936531285658
7.5,27.8,1.5,2.222,689.360906159012,508.016182155799
7.5,27.8,1.5,2.225,735.980579298045,474.260928492557
7.5,27.8,1.5,2.228,780.011579108437,432.287917779924
7.5,27.8,1.5,2.231,819.485946513766,382.192171370368
7.5,27.8,1.5,2.234,852.35435463705,324.673863484714
7.5,27.8,1.5,2.237,876.718528065684,261.094805520728
7.5,27.8,1.5,2.24,891.093234701922,193.425855272274
7.5,27.8,1.5,2.243,894.637014952568,124.072132686507
7.5,27.8,1.5,2.246,887.287630355848,55.6016802574442
7.5,27.8,1.5,2.249,869.761802351349,-9.56140211548341
7.5,27.8,1.5,2.252,843.421104286371,-69.4050508860465
7.5,27.8,1.5,2.255,810.046740288781,-122.500459341911
7.5,27.8,1.5,2.258,771.586456085955,-168.054408285201
7.5,27.8,1.5,2.261,729.931297935503,-205.857644912625
7.5,27.8,1.5,2.264,686.756942088129,-236.166736326494
