"dI [mm]","wF [mm]","Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
7.5,1.5,1.85,5.95496008685247,149.438726797259
7.5,1.5,1.853,6.08363526375986,150.449273999354
7.5,1.5,1.856,6.21609343781439,151.474283815293
7.5,1.5,1.859,6.352479241438,152.51411771542
7.5,1.5,1.862,6.49294414102239,153.5691495981
7.5,1.5,1.865,6.63764682288368,154.639766326038
7.5,1.5,1.868,6.78675360459584,155.726368290131
7.5,1.5,1.871,6.94043887360934,156.829370002457
7.5,1.5,1.874,7.0988855552225,157.949200720153
7.5,1.5,1.877,7.2622856121505,159.086305101997
7.5,1.5,1.88,7.43084057812912,160.241143899673
7.5,1.5,1.883,7.60476212820159,161.414194685798
7.5,1.5,1.886,7.78427268857073,162.605952620952
7.5,1.5,1.889,7.96960608915135,163.816931262081
7.5,1.5,1.892,8.16100826223864,165.047663414821
7.5,1.5,1.895,8.35873799101592,166.298702032453
7.5,1.5,1.898,8.56306771196135,167.570621164372
7.5,1.5,1.901,8.77428437558913,168.864016957179
7.5,1.5,1.904,8.99269037036731,170.179508711681
7.5,1.5,1.907,9.21860451510955,171.517739999329
7.5,1.5,1.91,9.45236312563602,172.879379841867
7.5,1.5,1.913,9.69432116205121,174.265123958199
7.5,1.5,1.916,9.94485346359698,175.675696082785
7.5,1.5,1.919,10.2043560787131,177.111849360159
7.5,1.5,1.922,10.4732476986884,178.574367820454
7.5,1.5,1.925,10.7519712041108,180.0640679412
7.5,1.5,1.928,11.0409953342515,181.581800300972
7.5,1.5,1.931,11.3408164905347,183.128451330859
7.5,1.5,1.934,11.6519606863888,184.70494517015
7.5,1.5,1.937,11.9749856570342,186.312245633017
7.5,1.5,1.94,12.3104831441802,187.951358293462
7.5,1.5,1.943,12.6590813721742,189.623332696256
7.5,1.5,1.946,13.0214477339028,191.329264702098
7.5,1.5,1.949,13.3982917067119,193.070298975754
7.5,1.5,1.952,13.7903680208081,194.847631626488
7.5,1.5,1.955,14.1984801050679,196.662513010642
7.5,1.5,1.958,14.6234838379371,198.516250706851
7.5,1.5,1.961,15.0662916342106,200.410212674932
7.5,1.5,1.964,15.5278769019549,202.345830610142
7.5,1.5,1.967,16.0092789077633,204.324603505061
7.5,1.5,1.97,16.5116080929421,206.348101431995
7.5,1.5,1.973,17.0360518882043,208.41796955933
7.5,1.5,1.976,17.5838810800697,210.535932415814
7.5,1.5,1.979,18.1564567885153,212.703798417209
7.5,1.5,1.982,18.755238122612,214.923464670093
7.5,1.5,1.985,19.3817905890258,217.196922067859
7.5,1.5,1.988,20.0377953374922,219.526260693965
7.5,1.5,1.991,20.725059337868,221.913675547341
7.5,1.5,1.994,21.4455265952832,224.361472604306
7.5,1.5,1.997,22.2012905234911,226.872075230462
7.5,1.5,2,22.9946076119825,229.448030954551
7.5,1.5,2.003,23.8279125400778,232.092018614153
7.5,1.5,2.006,24.7038349113653,234.806855880098
7.5,1.5,2.009,25.6252178049042,237.595507162364
7.5,1.5,2.012,26.5951383659933,240.461091894765
7.5,1.5,2.015,27.6169306895345,243.406893188472
7.5,1.5,2.018,28.6942112836989,246.436366834993
7.5,1.5,2.021,29.8309074414048,249.553150626959
7.5,1.5,2.024,31.0312888928599,252.761073949387
7.5,1.5,2.027,32.3000031650065,256.064167573884
7.5,1.5,2.03,33.6421151342193,259.466673562669
7.5,1.5,2.033,35.0631513282626,262.973055156623
7.5,1.5,2.036,36.5691496137151,266.58800648025
7.5,1.5,2.039,38.1667149974287,270.316461844121
7.5,1.5,2.042,39.8630823769498,274.163604359224
7.5,1.5,2.045,41.6661871972006,278.134873494109
7.5,1.5,2.048,43.5847451114609,282.235971100326
7.5,1.5,2.051,45.6283419062763,286.472865298539
7.5,1.5,2.054,47.8075351350926,290.851791449859
7.5,1.5,2.057,50.1339691170435,295.379249224909
7.5,1.5,2.06,52.6205051982124,300.061994515567
7.5,1.5,2.063,55.28136944555,304.907024596168
7.5,1.5,2.066,58.1323202504804,309.921554513637
7.5,1.5,2.069,61.1908386611253,315.112982145502
7.5,1.5,2.072,64.4763446380482,320.488838680847
7.5,1.5,2.075,68.0104428344101,326.056720413412
7.5,1.5,2.078,71.8172019283139,331.824196639506
7.5,1.5,2.081,75.9234719660025,337.798687064432
7.5,1.5,2.084,80.3592445807451,343.987300362045
7.5,1.5,2.087,85.1580612872853,350.396623305275
7.5,1.5,2.09,90.3574752428076,357.032447069639
7.5,1.5,2.093,95.9995718010656,363.899413757234
7.5,1.5,2.096,102.13155269869,371.000561713711
7.5,1.5,2.099,108.806387551899,378.336742598967
7.5,1.5,2.102,116.08353414064,385.905876174563
7.5,1.5,2.105,124.029725180644,393.70200011389
7.5,1.5,2.108,132.71981316095,401.714061551567
7.5,1.5,2.111,142.237655255033,409.9243843411
7.5,1.5,2.114,152.677005747935,418.306731000396
7.5,1.5,2.117,164.142361708546,426.823861314072
7.5,1.5,2.12,176.749675848394,435.424471336713
7.5,1.5,2.123,190.626804770459,444.039378958274
7.5,1.5,2.126,205.913496191638,452.576808893808
7.5,1.5,2.129,222.760629324305,460.916627503836
7.5,1.5,2.132,241.32830212018,468.9033973677
